V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17
1,7.68,31.85714286,47,33,85.57142857,134.5,117,0.818749787,0.719692741,0.912025506,0.952380952,0.232688211,0.008851476,0.019148145,4,0.142857143
0,26.28,244,238.5,42.75,296,414.5,239.75,0.87075089,0.848631538,0.893440904,0.923945101,0.075313563,0.199569724,0.444465472,14,6.8
1,6.28,35.6,38,22,95.66666667,117,81.5,0.550313997,0.039816233,0.776316643,0.805532625,0.765716392,0.105997599,0.004728267,18,45.71428571
0,27.8,234,216.75,112.75,369.1,488.25,209,0.838805426,0.850860833,0.911974073,0.96168768,0.110826847,0.531111842,0.177820469,16,8.818181818
1,5.76,27.16666667,46,39.75,70.125,132.25,121.25,0.807212182,0.680555556,0.943881528,0.982547993,0.301992437,0.564448948,0.371265362,5,13.875
0,15.76,255.6,213,48,248.2,374,327,0.802517369,0.936506318,0.990336268,0.998245614,0.061739296,0.131987722,0.712927502,16,0
0,24.44,502.7,447.25,104.75,412.3,508.5,130.5,0.877558742,0.872205752,0.898035299,0.936238005,0.064032253,0.223441418,1.491928059,41,80.2
0,4.44,320.7272727,342.5,147.5,297.7272727,404,199.5,0.749517638,0.569782277,0.739005023,1,0.430217723,56.9708352,19.08251021,52,35.72727273
0,21.76,330.4545455,316,78.5,270.4545455,336,130,0.882874346,0.847791072,0.891446986,0.982168088,0.134377016,0.132207774,1.394404081,37,26.09090909
1,7.24,111.1,59.5,40,43.4,62.25,44,0.891728131,0.877567043,0.963366086,1,0.122432957,0.076257145,0.107214823,127,0
1,5.28,26.57142857,51.5,47.5,22.66666667,23,12,0.854489862,0.881593159,0.973684211,0.988764045,0.107170886,0.26065644,0.000842141,2,0
1,4.92,159.8571429,241,182.5,190.75,245.75,101.5,0.400523798,0.237643751,0.431982723,0.503393665,0.265749915,2.855621295,8.305443104,14,46.125
1,4.4,78.42857143,131,102,32.57142857,26,17,0.765643287,0.700809465,0.828224478,0.906027311,0.205217847,5.77E-05,1.810395657,3,0
1,4.16,155.5714286,230,153.5,196.625,299,219.5,0.471874122,0.317161076,0.426617604,0.643678161,0.326517085,0.504372337,2.080225978,8,33.1
1,10.32,17,21.5,10,93.2,173.25,145.5,0.50462387,0.141137623,0.45890047,0.991234185,0.850096561,0.039647289,0.006211573,9,7.8
0,18.32,202.6666667,343,281,205.5555556,310,222,0.802059663,0.718597527,0.88519489,0.968783658,0.25018613,0.152115878,0.158256044,305,36.3
0,11.96,438.0833333,604.75,389.5,139.5,166.75,49.25,0.879253563,0.803956956,0.902777994,0.98407871,0.180121754,0.306312791,0.372832772,30,23.33333333
